frame,low_pose,margin,root_lift,frame_xy_slip,left_frame_xy_slip,right_frame_xy_slip,contact_sides,error1,error2,all_min_signed_distance,all_max_penetration,all_penetrating,foot_min_signed_distance,foot_max_penetration,foot_mean_penetration,foot_penetrating,leg_min_signed_distance,leg_max_penetration,leg_mean_penetration,leg_penetrating,trunk_min_signed_distance,trunk_max_penetration,trunk_mean_penetration,trunk_penetrating,arm_min_signed_distance,arm_max_penetration,arm_mean_penetration,arm_penetrating
0,False,0.01,0.0,0.0,0.0,0.0,left,0.6881099979066065,0.6881099979066065,0.019507823872991943,0.0,False,0.019507823872991943,0.0,0.0,False,0.05867477448256242,0.0,0.0,False,0.6601380997284934,0.0,0.0,False,1.056365766377293,0.0,0.0,False
1,False,0.01,0.0,0.00013692993741270642,0.00013692993741270642,0.0,left,0.6830574110380723,0.6830574110380723,0.020472077689802238,0.0,False,0.020472077689802238,0.0,0.0,False,0.05856710617141095,0.0,0.0,False,0.6602451591267258,0.0,0.0,False,1.0569739542662175,0.0,0.0,False
2,False,0.01,0.0,8.264684260913681e-05,8.264684260913681e-05,0.0,left,0.6832192705865533,0.6832192705865533,0.020864729166775044,0.0,False,0.020864729166775044,0.0,0.0,False,0.058614695093373026,0.0,0.0,False,0.6602995969296763,0.0,0.0,False,1.0573673586168788,0.0,0.0,False
3,False,0.01,0.0,7.885529763795182e-05,7.885529763795182e-05,0.0,left,0.684009755021684,0.684009755021684,0.020878664409166057,0.0,False,0.020878664409166057,0.0,0.0,False,0.05867601763826505,0.0,0.0,False,0.6603364338015498,0.0,0.0,False,1.057545740219653,0.0,0.0,False
4,False,0.01,0.0,6.799649561051934e-05,6.799649561051934e-05,0.0,left,0.6848464501894194,0.6848464501894194,0.02088568755415898,0.0,False,0.02088568755415898,0.0,0.0,False,0.05871260507917586,0.0,0.0,False,0.6603599167449825,0.0,0.0,False,1.0576263924182339,0.0,0.0,False
5,False,0.01,0.0,6.232544058208153e-05,6.232544058208153e-05,0.0,left,0.6854986627668012,0.6854986627668012,0.02088406137209,0.0,False,0.02088406137209,0.0,0.0,False,0.058734250965993384,0.0,0.0,False,0.6603785306405564,0.0,0.0,False,1.0576646545440989,0.0,0.0,False
6,False,0.01,0.0,3.571397468260535e-05,3.571397468260535e-05,0.0,left,0.6857413972636245,0.6857413972636245,0.020873116650892545,0.0,False,0.020873116650892545,0.0,0.0,False,0.05874610076473946,0.0,0.0,False,0.6603964325314474,0.0,0.0,False,1.057686320014213,0.0,0.0,False
7,False,0.01,0.0,3.0986490707592484e-05,3.0986490707592484e-05,0.0,left,0.6855320239771898,0.6855320239771898,0.020859988590005794,0.0,False,0.020859988590005794,0.0,0.0,False,0.05875361423941036,0.0,0.0,False,0.6604141866906338,0.0,0.0,False,1.057699132222471,0.0,0.0,False
8,False,0.01,0.0,1.417269569938342e-05,1.417269569938342e-05,0.0,left,0.6854205272506858,0.6854205272506858,0.020840601497833573,0.0,False,0.020840601497833573,0.0,0.0,False,0.05875283980800522,0.0,0.0,False,0.6604336343291093,0.0,0.0,False,1.0577155621201058,0.0,0.0,False
9,False,0.01,0.0,1.0589814380081127e-05,1.0589814380081127e-05,0.0,left,0.685476765500612,0.685476765500612,0.02081825436202447,0.0,False,0.02081825436202447,0.0,0.0,False,0.058744952720421795,0.0,0.0,False,0.6604529119806218,0.0,0.0,False,1.0577451542875,0.0,0.0,False
10,False,0.01,0.0,1.297754904551781e-05,1.297754904551781e-05,0.0,left,0.6854799211974676,0.6854799211974676,0.02078352617300041,0.0,False,0.02078352617300041,0.0,0.0,False,0.05873155036289013,0.0,0.0,False,0.6604677620174629,0.0,0.0,False,1.0577705317639507,0.0,0.0,False
11,False,0.01,0.0,1.4214047416709312e-05,1.4214047416709312e-05,0.0,left,0.6851309804693195,0.6851309804693195,0.020743592831027814,0.0,False,0.020743592831027814,0.0,0.0,False,0.05871556409884138,0.0,0.0,False,0.6604827803041577,0.0,0.0,False,1.0578109956221058,0.0,0.0,False
12,False,0.01,0.0,1.3812086078674425e-05,1.3812086078674425e-05,0.0,left,0.684543056513168,0.684543056513168,0.020700276735820148,0.0,False,0.020700276735820148,0.0,0.0,False,0.05869793993401065,0.0,0.0,False,0.660498420608343,0.0,0.0,False,1.0578798559736597,0.0,0.0,False
13,False,0.01,0.0,1.9047723018950794e-05,1.9047723018950794e-05,0.0,left,0.6841508296840769,0.6841508296840769,0.020658315872103764,0.0,False,0.020658315872103764,0.0,0.0,False,0.05867909132892238,0.0,0.0,False,0.6605161238102008,0.0,0.0,False,1.0579812057156404,0.0,0.0,False
14,False,0.01,0.0,1.3150802546116775e-05,1.3150802546116775e-05,0.0,left,0.6839850177072881,0.6839850177072881,0.020619027488335252,0.0,False,0.020619027488335252,0.0,0.0,False,0.058659614022154916,0.0,0.0,False,0.6605351131433059,0.0,0.0,False,1.058094438986347,0.0,0.0,False
15,False,0.01,0.0,5.565613441288935e-06,5.565613441288935e-06,0.0,left,0.6838792099135156,0.6838792099135156,0.020581316848862972,0.0,False,0.020581316848862972,0.0,0.0,False,0.05863995543915149,0.0,0.0,False,0.6605557770575332,0.0,0.0,False,1.0582044418059111,0.0,0.0,False
16,False,0.01,0.0,9.970120953772134e-06,9.970120953772134e-06,0.0,left,0.6838120916382037,0.6838120916382037,0.02054427421441588,0.0,False,0.02054427421441588,0.0,0.0,False,0.05862087970581209,0.0,0.0,False,0.6605776371854152,0.0,0.0,False,1.0583000479572529,0.0,0.0,False
17,False,0.01,0.0,6.417747510332e-06,6.417747510332e-06,0.0,left,0.6838112572636518,0.6838112572636518,0.020514116080314983,0.0,False,0.020514116080314983,0.0,0.0,False,0.05860547088363008,0.0,0.0,False,0.6605996449203839,0.0,0.0,False,1.058387181978322,0.0,0.0,False
18,False,0.01,0.0,1.0348889482478681e-05,1.0348889482478681e-05,0.0,left,0.6839283131208149,0.6839283131208149,0.020492774767843384,0.0,False,0.020492774767843384,0.0,0.0,False,0.0585955389349031,0.0,0.0,False,0.6606204983545172,0.0,0.0,False,1.0584830021144644,0.0,0.0,False
19,False,0.01,0.0,1.2093035062168757e-05,1.2093035062168757e-05,0.0,left,0.6840141331620115,0.6840141331620115,0.020480310238450084,0.0,False,0.020480310238450084,0.0,0.0,False,0.058591352581125855,0.0,0.0,False,0.6606403038614317,0.0,0.0,False,1.0585750953062065,0.0,0.0,False
20,False,0.01,0.0,1.4194682091908717e-05,1.4194682091908717e-05,0.0,left,0.6840770611896567,0.6840770611896567,0.02047440921229354,0.0,False,0.02047440921229354,0.0,0.0,False,0.05859336658661832,0.0,0.0,False,0.6606596188513011,0.0,0.0,False,1.0586523134489039,0.0,0.0,False
21,False,0.01,0.0,5.427083076926235e-06,5.427083076926235e-06,0.0,left,0.684140050047089,0.684140050047089,0.020478290805235947,0.0,False,0.020478290805235947,0.0,0.0,False,0.05859885557030134,0.0,0.0,False,0.660676245335583,0.0,0.0,False,1.0587127880926779,0.0,0.0,False
22,False,0.01,0.0,1.6018025554424928e-05,1.6018025554424928e-05,0.0,left,0.6841861145904526,0.6841861145904526,0.02048705762212224,0.0,False,0.02048705762212224,0.0,0.0,False,0.0586046465617685,0.0,0.0,False,0.6606881874631827,0.0,0.0,False,1.0587503086079375,0.0,0.0,False
23,False,0.01,0.0,1.8188732211625048e-05,1.8188732211625048e-05,0.0,left,0.6840861320766832,0.6840861320766832,0.020499308296615334,0.0,False,0.020499308296615334,0.0,0.0,False,0.05861128517790187,0.0,0.0,False,0.6606978355415369,0.0,0.0,False,1.0587708958916153,0.0,0.0,False
24,False,0.01,0.0,2.9161351529910965e-05,2.9161351529910965e-05,0.0,left,0.6837825593236424,0.6837825593236424,0.020511667279477768,0.0,False,0.020511667279477768,0.0,0.0,False,0.05861580606507513,0.0,0.0,False,0.6607044722533172,0.0,0.0,False,1.058779541093832,0.0,0.0,False
25,False,0.01,0.0,2.186438840989761e-05,2.186438840989761e-05,0.0,left,0.6835158097318359,0.6835158097318359,0.02052023838547481,0.0,False,0.02052023838547481,0.0,0.0,False,0.05861813169262309,0.0,0.0,False,0.6607087619586766,0.0,0.0,False,1.0587766750036887,0.0,0.0,False
26,False,0.01,0.0,8.421171295580323e-06,8.421171295580323e-06,0.0,left,0.6833658744410054,0.6833658744410054,0.02053708883039257,0.0,False,0.02053708883039257,0.0,0.0,False,0.05862357861597278,0.0,0.0,False,0.6607100289717125,0.0,0.0,False,1.058761010362739,0.0,0.0,False
27,False,0.01,0.0,2.847833995494823e-05,2.847833995494823e-05,0.0,left,0.6831566971096112,0.6831566971096112,0.020567816112737832,0.0,False,0.020567816112737832,0.0,0.0,False,0.05863390794969184,0.0,0.0,False,0.6607076342714209,0.0,0.0,False,1.0587189635160419,0.0,0.0,False
28,False,0.01,0.0,1.1564798543315365e-05,1.1564798543315365e-05,0.0,left,0.6831838194074127,0.6831838194074127,0.020591238949878188,0.0,False,0.020591238949878188,0.0,0.0,False,0.05864090037193981,0.0,0.0,False,0.6607004205441257,0.0,0.0,False,1.0586665521798233,0.0,0.0,False
29,False,0.01,0.0,8.948984464386147e-06,8.948984464386147e-06,0.0,left,0.6836320658272079,0.6836320658272079,0.020607125905207486,0.0,False,0.020607125905207486,0.0,0.0,False,0.05863872920464014,0.0,0.0,False,0.6606848318213547,0.0,0.0,False,1.058612999766644,0.0,0.0,False
30,False,0.01,0.0,1.70867084659495e-05,1.70867084659495e-05,0.0,left,0.684225708722486,0.684225708722486,0.020613171832618238,0.0,False,0.020613171832618238,0.0,0.0,False,0.05862309441889499,0.0,0.0,False,0.6606583871252739,0.0,0.0,False,1.0585711184763271,0.0,0.0,False
31,False,0.01,0.0,8.268639359230905e-06,8.268639359230905e-06,0.0,left,0.684584460689302,0.684584460689302,0.02061061687701629,0.0,False,0.02061061687701629,0.0,0.0,False,0.05860023345800261,0.0,0.0,False,0.6606319014240138,0.0,0.0,False,1.0585447220993878,0.0,0.0,False
32,False,0.01,0.0,2.1274559982631014e-06,2.1274559982631014e-06,0.0,left,0.6846506810887681,0.6846506810887681,0.020605005612562944,0.0,False,0.020605005612562944,0.0,0.0,False,0.05858231833445918,0.0,0.0,False,0.660614776511039,0.0,0.0,False,1.058527326431685,0.0,0.0,False
33,False,0.01,0.0,1.3425745713492466e-05,1.3425745713492466e-05,0.0,left,0.6845852231597346,0.6845852231597346,0.020588611092794116,0.0,False,0.020588611092794116,0.0,0.0,False,0.05856326097105238,0.0,0.0,False,0.6606020725722701,0.0,0.0,False,1.0585163954095578,0.0,0.0,False
34,False,0.01,0.0,7.222421569230636e-06,7.222421569230636e-06,0.0,left,0.6842805927719567,0.6842805927719567,0.020563795397363274,0.0,False,0.020563795397363274,0.0,0.0,False,0.058541888027316275,0.0,0.0,False,0.660587605704804,0.0,0.0,False,1.058502533187733,0.0,0.0,False
35,False,0.01,0.0,1.0867832565515137e-05,1.0867832565515137e-05,0.0,left,0.6838136482415419,0.6838136482415419,0.020530259727609603,0.0,False,0.020530259727609603,0.0,0.0,False,0.05851769593101491,0.0,0.0,False,0.660571083617361,0.0,0.0,False,1.0584876390529854,0.0,0.0,False
36,False,0.01,0.0,1.6601985749287205e-05,1.6601985749287205e-05,0.0,left,0.6831127422217255,0.6831127422217255,0.02048497301734618,0.0,False,0.02048497301734618,0.0,0.0,False,0.05849119639943212,0.0,0.0,False,0.6605533277841986,0.0,0.0,False,1.0584936620562442,0.0,0.0,False
37,False,0.01,0.0,2.8481761502596786e-05,2.8481761502596786e-05,0.0,left,0.6828314142583324,0.6828314142583324,0.020421517193043727,0.0,False,0.020421517193043727,0.0,0.0,False,0.05845539512699524,0.0,0.0,False,0.6605358838464299,0.0,0.0,False,1.0585386174269504,0.0,0.0,False
38,False,0.01,0.0,1.9414401213855647e-05,1.9414401213855647e-05,0.0,left,0.6828743506290542,0.6828743506290542,0.02032453661553575,0.0,False,0.02032453661553575,0.0,0.0,False,0.05840292048031198,0.0,0.0,False,0.6605156124639074,0.0,0.0,False,1.0586073824396727,0.0,0.0,False
39,False,0.01,0.0,3.4747459267087128e-06,3.4747459267087128e-06,0.0,left,0.6828424339384433,0.6828424339384433,0.020186733935704096,0.0,False,0.020186733935704096,0.0,0.0,False,0.058331454633780255,0.0,0.0,False,0.6604909789585672,0.0,0.0,False,1.058659962928003,0.0,0.0,False
40,False,0.01,0.0,7.5451366779868475e-06,7.5451366779868475e-06,0.0,left,0.6824932152682548,0.6824932152682548,0.019975060929010715,0.0,False,0.019975060929010715,0.0,0.0,False,0.05821910551158754,0.0,0.0,False,0.6604442304168954,0.0,0.0,False,1.05864453861116,0.0,0.0,False
41,False,0.01,0.0,3.554764466347704e-05,3.554764466347704e-05,0.0,left,0.6825615857345325,0.6825615857345325,0.019832876531853096,0.0,False,0.019832876531853096,0.0,0.0,False,0.05815880600295148,0.0,0.0,False,0.6604451603394557,0.0,0.0,False,1.0586414384011813,0.0,0.0,False
42,False,0.01,0.0,7.28856053017747e-05,7.28856053017747e-05,0.0,left,0.6831443077230167,0.6831443077230167,0.01971142323835549,0.0,False,0.01971142323835549,0.0,0.0,False,0.058102526536662064,0.0,0.0,False,0.6604516644934709,0.0,0.0,False,1.0586221216901224,0.0,0.0,False
43,False,0.01,0.0,3.8994670643792744e-05,3.8994670643792744e-05,0.0,left,0.6836889244258498,0.6836889244258498,0.019596810426299238,0.0,False,0.019596810426299238,0.0,0.0,False,0.05804577572839542,0.0,0.0,False,0.6604545146762786,0.0,0.0,False,1.0585742784254548,0.0,0.0,False
44,False,0.01,0.0,2.0451442222157823e-05,2.0451442222157823e-05,0.0,left,0.6840975275793784,0.6840975275793784,0.019491140233467874,0.0,False,0.019491140233467874,0.0,0.0,False,0.05799251126109384,0.0,0.0,False,0.6604538671882473,0.0,0.0,False,1.0585277000753195,0.0,0.0,False
45,False,0.01,0.0,2.280561742773067e-05,2.280561742773067e-05,0.0,left,0.6842387991069163,0.6842387991069163,0.019388171666938448,0.0,False,0.019388171666938448,0.0,0.0,False,0.0579337208693016,0.0,0.0,False,0.6604449694371946,0.0,0.0,False,1.058509807763211,0.0,0.0,False
46,False,0.01,0.0,1.1978836873437996e-05,1.1978836873437996e-05,0.0,left,0.6840454490775986,0.6840454490775986,0.01928992679290304,0.0,False,0.01928992679290304,0.0,0.0,False,0.057878106744207514,0.0,0.0,False,0.6604334432847148,0.0,0.0,False,1.058499456553926,0.0,0.0,False
47,False,0.01,0.0,1.3529909047708033e-05,1.3529909047708033e-05,0.0,left,0.6836502431382231,0.6836502431382231,0.019193029929200023,0.0,False,0.019193029929200023,0.0,0.0,False,0.05782258684364397,0.0,0.0,False,0.6604203446977256,0.0,0.0,False,1.0584959549315314,0.0,0.0,False
48,False,0.01,0.0,1.35910768472694e-05,1.35910768472694e-05,0.0,left,0.6834915903308034,0.6834915903308034,0.01910125414864362,0.0,False,0.01910125414864362,0.0,0.0,False,0.057774542980547405,0.0,0.0,False,0.6604111090529906,0.0,0.0,False,1.0585006736278681,0.0,0.0,False
49,False,0.01,0.0,2.8329794029669356e-05,2.8329794029669356e-05,0.0,left,0.6834888724685083,0.6834888724685083,0.019015330919343192,0.0,False,0.019015330919343192,0.0,0.0,False,0.05773709984565645,0.0,0.0,False,0.660409919659697,0.0,0.0,False,1.0585230615191492,0.0,0.0,False
50,False,0.01,0.0,3.603985822593845e-05,3.603985822593845e-05,0.0,left,0.6834458463413559,0.6834458463413559,0.018936945375873575,0.0,False,0.018936945375873575,0.0,0.0,False,0.05770704429113391,0.0,0.0,False,0.6604144715428981,0.0,0.0,False,1.0585639046580828,0.0,0.0,False
51,False,0.01,0.0,2.278589900030399e-05,2.278589900030399e-05,0.0,left,0.6833954247214996,0.6833954247214996,0.01886306842010209,0.0,False,0.01886306842010209,0.0,0.0,False,0.0576809130564003,0.0,0.0,False,0.6604214539527102,0.0,0.0,False,1.0586181341248293,0.0,0.0,False
52,False,0.01,0.0,1.1369570095327829e-05,1.1369570095327829e-05,0.0,left,0.6836105652221516,0.6836105652221516,0.018793825068046822,0.0,False,0.018793825068046822,0.0,0.0,False,0.0576557179482772,0.0,0.0,False,0.660428421440813,0.0,0.0,False,1.0586887871373725,0.0,0.0,False
53,False,0.01,0.0,3.147773826611177e-05,3.147773826611177e-05,0.0,left,0.6836535711859111,0.6836535711859111,0.018734571837218873,0.0,False,0.018734571837218873,0.0,0.0,False,0.05763030537842162,0.0,0.0,False,0.6604298645334988,0.0,0.0,False,1.0587685207266153,0.0,0.0,False
54,False,0.01,0.0,3.0448003545451256e-05,3.0448003545451256e-05,0.0,left,0.6837362742921791,0.6837362742921791,0.01867808866323204,0.0,False,0.01867808866323204,0.0,0.0,False,0.057603143810485036,0.0,0.0,False,0.660426165829907,0.0,0.0,False,1.058827691481087,0.0,0.0,False
55,False,0.01,0.0,2.12920903870513e-05,2.12920903870513e-05,0.0,left,0.6839325790046461,0.6839325790046461,0.018624795119245165,0.0,False,0.018624795119245165,0.0,0.0,False,0.057577691911076145,0.0,0.0,False,0.6604214355382804,0.0,0.0,False,1.0588529599642058,0.0,0.0,False
56,False,0.01,0.0,2.811766804455334e-05,2.811766804455334e-05,0.0,left,0.6842681832738634,0.6842681832738634,0.018577191522926594,0.0,False,0.018577191522926594,0.0,0.0,False,0.05755407657519601,0.0,0.0,False,0.6604148744735377,0.0,0.0,False,1.0588638777708745,0.0,0.0,False
